Name	Price	Cheapest - Option	Cheapest - Shipping Cost	Cheapest - Taxes & Fees	Cheapest ETA - Days	Fastest Option - Days	Fastest - Shipping Cost	Fastest - Taxes & Fees	Group	Category	Vendor	URL
Pop Sockets	9.99	Prime Shipping	0	0.77	2	1	5.99	1.23	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/PopSockets-Collapsible-Phones-Tablets-Nebula/dp/B06XGKRQSJ/ref=pd_sim_107_3?_encoding=UTF8&pd_rd_i=B01EFKSENA&pd_rd_r=4633fd9e-fcc1-11e8-9cda-1d7d2ad86ec7&pd_rd_w=A6E9l&pd_rd_wg=ILBRK&pf_rd_p=18bb0b78-4200-49b9-ac91-f141d61a1780&pf_
Pop Sockets	9.99	Prime Shipping	0		2	1	3.99	0	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/PopSockets-Collapsible-Stand-Phones-Tablets/dp/B01DNRMTA0/ref=pd_sim_107_3?_encoding=UTF8&pd_rd_i=B01DNRMTA0&pd_rd_r=3cdbc192-fcc2-11e8-9593-a54217c41805&pd_rd_w=AkCRG&pd_rd_wg=FIQil&pf_rd_p=18bb0b78-4200-49b9-ac91-f141d61a1780&pf_r
More Pop Sockets	14.99	Prime Shipping	0	1.16	2	1	3.99	1.47	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/PopSockets-Collapsible-Phones-Tablets-Catstronaut/dp/B01LWL276H/ref=bbp_bb_a77114_st_8174_w_10?psc=1&smid=ATVPDKIKX0DER
100 Instant Water Balloons	9.99	Prime Shipping	0	0.77	2		0.77	0	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/dp/B01897IKBQ/ref=cm_gf_aTNN_i13_d_p0_qd2_____________________qdSQdcCEK4gjtdSF03Mx
Rick and Morty Calandar	8.2	Prime Shipping	0		2		0		Irid+/Rhodium	Other	Amazon	https://www.amazon.com/2019-Rick-Morty-Wall-Calendar/dp/1438862059/ref=sr_1_9?s=books&ie=UTF8&qid=1544486682&sr=1-9&keywords=rick+and+morty
Boba Fett Socks	8	Prime Shipping	0	0.62	2	1	3.99	0.62	Irid+/Rhodium	Fashion	Amazon	https://www.amazon.com/dp/B01EXSX24K/ref=sspa_dk_detail_18?psc=1&pd_rd_i=B01EXSX24K
Star Wars Socks	9	Prime Shipping	0	0.7	2	1	5.99	0.7	Irid+/Rhodium	Fashion	Amazon	https://www.amazon.com/dp/B00KEDW8Y4/ref=sspa_dk_detail_6?psc=1&pd_rd_i=B00KEDW8Y4&pd_rd_w=I8Xkk&pf_rd_p=f0dedbe2-13c8-4136-a746-4398ed93cf0f&pd_rd_wg=1ppm8&pf_rd_r=6EMSXMXZ4XEZJ0HQF4TP&pd_rd_r=1287d124-fcde-11e8-b73f-81e1611457d6
Star Trek/Corgi/Dinosaur Socks	10	Prime Shipping	0	0.77	2	1	5.99	0.77	Irid+/Rhodium	Fashion	Amazon	https://www.amazon.com/dp/B07BH5JKBN/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B07BH5JKBN&pd_rd_w=I8Xkk&pf_rd_p=f0dedbe2-13c8-4136-a746-4398ed93cf0f&pd_rd_wg=1ppm8&pf_rd_r=6EMSXMXZ4XEZJ0HQF4TP&pd_rd_r=1287d124-fcde-11e8-b73f-81e1611457d6
Rick & Morty Socks	12	Prime Shipping	0	0.93	2	1	5.99	0.93	Irid+/Rhodium	Fashion	Amazon	https://www.amazon.com/dp/B078XKL3DQ/ref=sspa_dk_detail_12?psc=1&pd_rd_i=B078XKL3DQ
Meme Socks	13	Standard Shipping	0		5		0		Irid+/Rhodium	Fashion	Amazon	https://www.amazon.com/Balanced-Co-Circle-Casual-Cotton/dp/B07CRCR8QF/ref=sr_1_1_sspa?s=apparel&ie=UTF8&qid=1544489426&sr=1-1-spons&nodeID=7141123011&psd=1&keywords=socks&psc=1
Animal Socks	16	Prime Shipping	0		2	1	5.99	0	Irid+/Rhodium	Fashion	Amazon	https://www.amazon.com/Color-City-Stockings-Cartoon-Animal/dp/B01MG7GY1E/ref=sr_1_33?s=apparel&ie=UTF8&qid=1544489436&sr=1-33&nodeID=7141123011&psd=1&keywords=animal+socks
Selfie Ring Light	8.99	Prime Shipping	0						Irid+/Rhodium	Electronics	Amazon	https://www.amazon.com/dp/B076GXD2HS/ref=cm_gf_aTNN_i16_d_p0_qd103___________________yKNlDKx6OaUXOO0Xm2AA
UNO DOS Tin	9.99	Prime Shipping	0	0.77	2	1	3.99	1.08	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/UNO-42003-Card-Game/dp/B07DWNBLTJ/ref=zg_bs_toys-and-games_67?_encoding=UTF8&refRID=M1WA2E19HRXQ5HAKNER2&th=1
Terraria - Steam Game	9.99	Steam Game	0						Irid+/Rhodium	Games	Amazon	https://store.steampowered.com/app/105600/Terraria/
Portal 2 - Steam Game	9.99	Steam Game	0						Irid+/Rhodium	Games	Amazon	https://store.steampowered.com/app/620/Portal_2/
Human Fall Flat - Steam Game	14.99	Steam Game	0						Irid+/Rhodium	Games	Amazon	https://store.steampowered.com/app/477160/Human_Fall_Flat/
Lego Brick Headz Set	19.98	Prime Shipping	0	1.55	2	1	5.99	2.01	Rhod+/Diamond	Toys	Amazon	https://www.amazon.com/dp/B0787GT3XQ/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B0787GT3XQ&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=f0dedbe2-13c8-4136-a746-4398ed93cf0f&pd_rd_wg=B7GVJ&pf_rd_r=55G7NVVGNXNPYSVYVMRC&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&pd_rd_w=XUUBy&pf_rd_i=d
Joystick Extenders	16.99	Prime Shipping	0	1.32	2	1	3.99	1.32	Rhod+/Diamond	Accessories	Amazon	https://www.amazon.com/KontrolFreek-Performance-Thumbsticks-PlayStation-Controller-4/dp/B00ISW0TGW?ref_=bl_dp_s_web_3540013011
Controller Skins	10.99	KontrolFreek Shipping	4.62	0	8	1	46.57	0	Rhod+/Diamond	Accessories	Konrolfreek	https://www.kontrolfreek.com/collections/skins
HyperX Keycaps Upgrade Kit	14.99	Prime Shipping	0	1.16	2	1	5.99	1.62	Rhod+/Diamond	Digital Goods	Amazon	https://www.amazon.com/HyperX-MOBA-Gaming-Keycaps-Upgrade/dp/B0743YSX36/ref=sr_1_2?ie=UTF8&qid=1545080006&sr=8-2&keywords=hyperx+keycaps
Zelda Collection Keychain Set	19.99	Prime Shipping	0		2	1	5.99	0	Rhod+/Diamond	Jewlery	Amazon	https://www.amazon.com/Twilight-Princess-collection-keychain-Red-10set/dp/B00YK2Q5HQ/ref=pd_sim_21_2?_encoding=UTF8&pd_rd_i=B00YK2Q5HQ&pd_rd_r=444b8814-f846-11e8-ae10-f53544a794df&pd_rd_w=46CGl&pd_rd_wg=VWqsz&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER&
$20 Gift Card	20	Digital Item	0						Rhod+/Diamond	Digital Goods
PS4 Charging Station	14.98	Prime Shipping	0		2	1	5.99	0	Rhod+/Diamond	Electronics	Amazon	https://www.amazon.com/Controller-Playstation-Stand-Dual-Indicator-Controller-Black-4/dp/B01H1GJ7IQ/ref=sr_1_1_sspa?s=toys-and-games&ie=UTF8&qid=1543022221&sr=1-1-spons&keywords=ps4+controller+charger&psc=1
Nintendo Switch Charging Station	17.29	Prime Shipping	0	1.34	2	1	3.99	1.65	Rhod+/Diamond	Electronics	Amazon	https://www.amazon.com/PowerA-Nintendo-Switch-Joy-Charging-Dock/dp/B01MR6JD1M/ref=zg_bs_videogames_34?_encoding=UTF8&psc=1&refRID=BY68NZ5HQRRT1FZTWKK5
Xbox Charging Station	24.99	Prime Shipping	0		2	1	3.99	0	Rhod+/Diamond	Electronics	Amazon	https://www.amazon.com/Controller-Charger-Charging-Rechargeable-Wireless-Controllers/dp/B07CMY4HKD/ref=sr_1_1_sspa?s=videogames&ie=UTF8&qid=1548480043&sr=1-1-spons&keywords=xbox+charging+station&psc=1
Heavy Duty Mic Stand + Set	18.99	Prime Shipping	0		2	1	5.99	0	Rhod+/Diamond	Accessories	Amazon	https://www.amazon.com/dp/B07CN2C93T/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B07CN2C93T&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=f0dedbe2-13c8-4136-a746-4398ed93cf0f&pd_rd_wg=3tCaw&pf_rd_r=TYAWMVQQ0PMZ4CQ2ZEBB&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&pd_rd_w=7ORsl&pf_rd_i=d
Xbox One Rechargeable Battery Pack	19.99	Prime Shipping	0		2	1	3.99	0	Rhod+/Diamond	Accessories	Amazon	https://www.amazon.com/Controller-High-Speed-Charging-Technology-Rechargeable/dp/B07DPNYGST/ref=pd_sbs_63_47?_encoding=UTF8&pd_rd_i=B07DPNYGST&pd_rd_r=1086710a-ef92-11e8-bf90-4b2d1b246f8c&pd_rd_w=TDNnx&pd_rd_wg=ofdIt&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDK
Girls Watch	11	Prime Shipping	0		2	1	5.99	0	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/YSLON-Childrens-Electronic-Rabbit-Gifts/dp/B07H2ZPQGN/ref=sr_1_34?s=apparel&ie=UTF8&qid=1543359206&sr=1-34&nodeID=7141123011&psd=1&keywords=cartoon+watch
Punk Watch	12	Prime Shipping	0	1.01	2	1	5.99	1.47	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/d/Boys-Wrist-Watches/Function-Waterproof-Stopwatch-Digital-Wristwatch/B014RFN6XG/ref=sr_1_38?s=apparel&ie=UTF8&qid=1543359788&sr=1-38&nodeID=7147443011&psd=1&keywords=boy+watch
Womens Watch	12	Prime Shipping	0		2	1	3.99	0	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/Digital-Elegant-Waterproof-Stopwatch-Functional/dp/B07HHNCD4S/ref=sr_1_10?s=apparel&ie=UTF8&qid=1543359713&sr=1-10&nodeID=7141123011&psd=1&keywords=girl+watch
Boys Watch	13	Prime Shipping	0	1.01	2	1	5.99	1.47	Rhod+/Diamond	Fashion	Amazon	https://www.amazon.com/Marvel-Avengers-AVG3508-Watch-Rubber/dp/B00GXXJLOY/ref=sr_1_2?s=apparel&ie=UTF8&qid=1543359588&sr=1-2&nodeID=7141123011&psd=1&keywords=superhero+watch
